Time (ps),PRES
20.2,-294.9
20.4,-309.2
20.6,-182.4
20.8,-141.9
21.0,-54.4
21.2,32.3
21.4,-153.9
21.6,-152.4
21.8,-97.8
22.0,-63.0
22.2,41.6
22.4,-120.9
22.6,-101.8
22.8,-88.3
23.0,-59.6
23.2,-58.1
23.4,-62.6
23.6,-173.9
23.8,-153.8
24.0,-64.3
24.2,-216.0
24.4,-11.6
24.6,4.9
24.8,-107.4
25.0,-100.7
25.2,-80.1
25.4,-135.2
25.6,-91.0
25.8,-157.3
26.0,-167.3
26.2,-61.7
26.4,-171.2
26.6,-219.9
26.8,-121.2
27.0,13.4
27.2,125.8
27.4,-88.1
27.6,-198.3
27.8,-181.6
28.0,-24.2
28.2,-6.0
28.4,-188.6
28.6,-69.9
28.8,-62.7
29.0,-81.8
29.2,-199.9
29.4,-36.3
29.6,-108.3
29.8,-27.7
30.0,-182.2
30.2,-89.7
30.4,-90.0
30.6,-136.6
30.8,-24.5
31.0,-105.9
31.2,-114.3
31.4,-78.1
31.6,-196.6
31.8,-55.9
32.0,-169.6
32.2,-44.3
32.4,-192.5
32.6,-204.5
32.8,-174.0
33.0,121.0
33.2,-136.0
33.4,-16.8
33.6,-209.5
33.8,-111.4
34.0,-133.0
34.2,-84.2
34.4,-79.0
34.6,42.3
34.8,-60.8
35.0,-266.6
35.2,-259.9
35.4,-112.2
35.6,-149.8
35.8,-4.2
36.0,-102.5
36.2,-77.9
36.4,3.3
36.6,-113.8
36.8,-129.5
37.0,-83.1
37.2,-132.4
37.4,-134.2
37.6,-75.2
37.8,-156.9
38.0,-174.1
38.2,-55.2
38.4,-52.8
38.6,-98.7
38.8,-53.2
39.0,-33.2
39.2,-42.7
39.4,-44.8
39.6,-57.6
39.8,-180.1
40.0,-36.7
40.2,-119.9
40.4,-265.6
40.6,39.5
40.8,-24.7
41.0,-156.3
41.2,-101.2
41.4,-161.2
41.6,-278.3
41.8,-183.5
42.0,-148.0
42.2,-88.4
42.4,-192.0
42.6,-44.3
42.8,-281.8
43.0,-208.9
43.2,-209.4
43.4,-207.9
43.6,-87.2
43.8,-112.5
44.0,-147.1
44.2,-255.3
44.4,-175.5
44.6,-183.2
44.8,-235.5
45.0,-314.7
45.2,-376.3
45.4,-296.1
45.6,-321.3
45.8,-157.9
46.0,-215.0
46.2,-206.9
46.4,-310.1
46.6,-258.6
46.8,-403.1
47.0,-298.8
47.2,-308.9
47.4,-267.4
47.6,-212.1
47.8,-271.1
48.0,-372.8
48.2,-345.8
48.4,-270.6
48.6,-340.2
48.8,-391.6
49.0,-199.6
49.2,-209.1
49.4,-317.5
49.6,-266.5
49.8,-259.9
50.0,-318.8
50.2,-377.4
50.4,-493.7
50.6,-345.8
50.8,-384.3
51.0,-413.3
51.2,-295.9
51.4,-181.8
51.6,-259.5
51.8,-319.2
52.0,-203.0
52.2,-415.5
52.4,-244.9
52.6,-311.4
52.8,-268.1
53.0,-251.3
53.2,-298.6
53.4,-308.7
53.6,-129.9
53.8,-204.8
54.0,-84.2
54.2,-181.4
54.4,-141.5
54.6,-81.7
54.8,-209.0
55.0,-247.1
55.2,170.2
55.4,-110.0
55.6,-132.5
55.8,-66.1
56.0,-171.3
56.2,73.5
56.4,155.8
56.6,-62.6
56.8,-33.6
57.0,-139.5
57.2,-38.7
57.4,-78.2
57.6,-198.0
57.8,18.7
58.0,-100.9
58.2,158.0
58.4,23.7
58.6,67.4
58.8,-37.7
59.0,10.4
59.2,-86.9
59.4,123.3
59.6,-137.2
59.8,-46.4
60.0,-22.6
60.2,13.7
60.4,56.9
60.6,-99.1
60.8,-163.4
61.0,-0.2
61.2,-34.6
61.4,78.6
61.6,-10.3
61.8,-128.2
62.0,-37.5
62.2,-152.7
62.4,131.7
62.6,37.9
62.8,-40.5
63.0,-113.1
63.2,-53.1
63.4,31.4
63.6,-173.3
63.8,94.5
64.0,53.6
64.2,1.9
64.4,66.1
64.6,111.2
64.8,-133.3
65.0,-18.2
65.2,15.2
65.4,-36.5
65.6,-1.1
65.8,69.9
66.0,80.8
66.2,-126.0
66.4,-105.2
66.6,-139.5
66.8,57.3
67.0,240.5
67.2,-59.2
67.4,94.9
67.6,28.8
67.8,-42.6
68.0,104.9
68.2,22.4
68.4,52.6
68.6,145.0
68.8,-41.9
69.0,-18.9
69.2,39.2
69.4,-53.6
69.6,-13.7
69.8,-117.5
70.0,-131.9
70.2,139.6
70.4,-147.2
70.6,229.2
70.8,-31.2
71.0,92.6
71.2,138.1
71.4,-84.9
71.6,75.7
71.8,-195.0
72.0,-19.1
72.2,-45.1
72.4,-45.9
72.6,96.0
72.8,-178.5
73.0,-52.5
73.2,-41.7
73.4,-140.2
73.6,81.3
73.8,24.0
74.0,-39.3
74.2,-14.0
74.4,-190.5
74.6,-66.4
74.8,-145.0
75.0,-1.2
75.2,-41.2
75.4,-54.3
75.6,-73.0
75.8,-34.8
76.0,-58.0
76.2,-14.7
76.4,13.8
76.6,40.8
76.8,68.7
77.0,-17.8
77.2,22.9
77.4,-25.2
77.6,202.8
77.8,-108.0
78.0,-115.0
78.2,-113.4
78.4,1.0
78.6,-58.4
78.8,-141.0
79.0,162.1
79.2,21.4
79.4,-45.0
79.6,8.6
79.8,-158.5
80.0,93.6
80.2,-16.7
80.4,97.3
80.6,92.9
80.8,0.0
81.0,-122.5
81.2,190.6
81.4,90.8
81.6,8.3
81.8,-84.5
82.0,-59.3
82.2,108.1
82.4,-36.7
82.6,40.2
82.8,-238.3
83.0,-17.9
83.2,94.2
83.4,-19.5
83.6,-37.9
83.8,121.2
84.0,-115.4
84.2,-267.8
84.4,161.5
84.6,-159.7
84.8,92.8
85.0,-225.8
85.2,-100.1
85.4,-190.7
85.6,102.3
85.8,-93.1
86.0,-35.3
86.2,-12.3
86.4,18.1
86.6,-75.1
86.8,-106.3
87.0,-75.2
87.2,8.6
87.4,-110.3
87.6,63.4
87.8,14.4
88.0,8.8
88.2,-125.8
88.4,148.9
88.6,44.9
88.8,92.0
89.0,27.7
89.2,-40.6
89.4,-6.8
89.6,-8.7
89.8,-23.6
90.0,-123.8
90.2,51.7
90.4,9.5
90.6,-274.0
90.8,-25.3
91.0,-145.7
91.2,-139.4
91.4,17.2
91.6,5.5
91.8,-64.7
92.0,-18.1
92.2,99.8
92.4,142.5
92.6,-41.1
92.8,-27.5
93.0,-70.2
93.2,20.4
93.4,48.4
93.6,-72.3
93.8,74.0
94.0,124.4
94.2,-60.4
94.4,-219.0
94.6,-97.5
94.8,68.6
95.0,-3.2
95.2,-158.3
95.4,-50.3
95.6,-71.4
95.8,46.9
96.0,68.7
96.2,-100.5
96.4,-58.5
96.6,-77.5
96.8,105.4
97.0,-174.0
97.2,126.8
97.4,-55.8
97.6,-64.9
97.8,-91.3
98.0,15.1
98.2,98.4
98.4,-78.3
98.6,118.3
98.8,-123.1
99.0,84.7
99.2,-43.9
99.4,19.7
99.6,-44.8
99.8,-41.2
100.0,139.8
100.2,-79.7
100.4,246.8
100.6,-82.8
100.8,13.0
101.0,-112.1
101.2,-83.8
101.4,-133.8
101.6,205.0
101.8,42.3
102.0,80.3
102.2,-17.1
102.4,-66.2
102.6,-126.5
102.8,-154.6
103.0,23.2
103.2,1.3
103.4,-84.8
103.6,-111.2
103.8,-43.2
104.0,41.8
104.2,-83.2
104.4,-48.7
104.6,-13.2
104.8,-98.6
105.0,-31.5
105.2,22.4
105.4,-99.9
105.6,89.6
105.8,-96.8
106.0,30.7
106.2,-23.5
106.4,-75.6
106.6,-27.9
106.8,13.7
107.0,7.5
107.2,51.0
107.4,65.5
107.6,-114.6
107.8,-27.3
108.0,49.4
108.2,-129.4
108.4,-64.2
108.6,58.5
108.8,-11.7
109.0,-30.8
109.2,-79.1
109.4,-21.9
109.6,9.5
109.8,37.0
110.0,96.3
110.2,91.3
110.4,40.1
110.6,114.8
110.8,42.1
111.0,79.2
111.2,87.6
111.4,57.4
111.6,19.2
111.8,152.7
112.0,7.0
112.2,-226.1
112.4,-3.4
112.6,-35.6
112.8,124.6
113.0,-311.1
113.2,21.2
113.4,62.9
113.6,1.8
113.8,-0.1
114.0,-46.6
114.2,59.7
114.4,-93.4
114.6,-114.6
114.8,-165.4
115.0,221.8
115.2,46.7
115.4,120.0
115.6,57.3
115.8,136.6
116.0,53.2
116.2,-11.2
116.4,157.6
116.6,-95.9
116.8,12.5
117.0,34.5
117.2,8.2
117.4,65.8
117.6,206.1
117.8,183.7
118.0,-55.0
118.2,-3.7
118.4,142.6
118.6,176.9
118.8,12.3
119.0,-87.7
119.2,-35.5
119.4,-90.4
119.6,3.1
119.8,242.2
120.0,82.6
120.2,90.3
120.4,108.4
120.6,-108.7
120.8,24.1
121.0,205.3
121.2,11.2
121.4,-16.5
121.6,98.3
121.8,-108.3
122.0,-36.3
122.2,16.9
122.4,-146.3
122.6,-98.5
122.8,-64.8
123.0,86.9
123.2,17.7
123.4,60.0
123.6,130.7
123.8,37.1
124.0,81.0
124.2,-150.5
124.4,-3.6
124.6,-101.8
124.8,-21.9
125.0,-4.6
125.2,-29.0
125.4,-201.6
125.6,-48.5
125.8,57.3
126.0,-76.0
126.2,4.8
126.4,18.9
126.6,3.0
126.8,-129.8
127.0,171.9
127.2,118.6
127.4,90.5
127.6,-18.1
127.8,234.2
128.0,-51.0
128.2,-4.8
128.4,98.5
128.6,-69.3
128.8,-24.6
129.0,-131.4
129.2,149.6
129.4,-85.2
129.6,-110.0
129.8,20.6
130.0,-3.5
130.2,0.4
130.4,7.7
130.6,-143.0
130.8,-147.6
131.0,-31.9
131.2,-28.1
131.4,-38.4
131.6,63.6
131.8,-68.3
132.0,-72.2
132.2,-52.8
132.4,-10.7
132.6,-69.7
132.8,-96.3
133.0,-9.4
133.2,-18.7
133.4,-131.6
133.6,-105.1
133.8,-244.5
134.0,137.7
134.2,83.6
134.4,95.9
134.6,-133.1
134.8,25.3
135.0,-104.0
135.2,-22.2
135.4,52.4
135.6,-85.9
135.8,-23.9
136.0,14.4
136.2,132.9
136.4,-37.5
136.6,-91.0
136.8,-28.6
137.0,6.2
137.2,-50.1
137.4,-10.8
137.6,64.1
137.8,-55.6
138.0,4.9
138.2,2.3
138.4,-62.3
138.6,85.1
138.8,58.5
139.0,131.9
139.2,-54.6
139.4,-80.6
139.6,-95.3
139.8,38.4
140.0,15.2
140.2,6.1
140.4,-103.4
140.6,199.6
140.8,234.1
141.0,-28.0
141.2,110.4
141.4,-85.0
141.6,-222.1
141.8,99.2
142.0,249.7
142.2,24.9
142.4,-13.9
142.6,-103.3
142.8,51.8
143.0,-19.6
143.2,45.2
143.4,14.3
143.6,42.0
143.8,-41.9
144.0,-17.2
144.2,74.7
144.4,134.7
144.6,127.1
144.8,-14.3
145.0,31.6
145.2,167.2
145.4,-121.3
145.6,-17.2
145.8,209.4
146.0,13.0
146.2,148.2
146.4,-62.2
146.6,-177.7
146.8,152.4
147.0,116.8
147.2,14.7
147.4,-149.6
147.6,-14.5
147.8,-78.6
148.0,-43.4
148.2,-65.5
148.4,149.2
148.6,-40.1
148.8,-158.5
149.0,-44.2
149.2,-48.0
149.4,51.9
149.6,83.7
149.8,-189.3
150.0,44.3
150.2,2.7
150.4,-49.5
150.6,-59.9
150.8,23.1
151.0,70.9
151.2,-89.3
151.4,104.3
151.6,79.0
151.8,31.3
152.0,-15.8
152.2,-71.7
152.4,-105.0
152.6,94.3
152.8,-6.9
153.0,-154.2
153.2,66.7
153.4,-97.1
153.6,80.7
153.8,179.1
154.0,-50.5
154.2,55.8
154.4,-22.9
154.6,121.1
154.8,-128.5
155.0,31.5
155.2,-60.6
155.4,81.5
155.6,135.5
155.8,24.1
156.0,98.8
156.2,22.1
156.4,-161.6
156.6,35.6
156.8,97.6
157.0,-64.2
157.2,122.5
157.4,153.9
157.6,5.2
157.8,-13.1
158.0,-147.2
158.2,-153.7
158.4,-4.7
158.6,42.1
158.8,-38.0
159.0,49.2
159.2,116.6
159.4,76.2
159.6,35.9
159.8,10.5
160.0,8.8
160.2,-90.7
160.4,-19.0
160.6,206.5
160.8,-97.0
161.0,-98.5
161.2,-52.9
161.4,8.0
161.6,9.2
161.8,204.5
162.0,59.1
162.2,130.5
162.4,121.5
162.6,-26.2
162.8,56.2
163.0,-95.2
163.2,11.3
163.4,60.3
163.6,-17.4
163.8,101.7
164.0,87.9
164.2,-82.7
164.4,18.0
164.6,-67.4
164.8,-154.5
165.0,161.7
165.2,93.7
165.4,-79.2
165.6,-14.2
165.8,109.0
166.0,-83.6
166.2,-0.3
166.4,-57.5
166.6,-36.8
166.8,-92.4
167.0,39.3
167.2,44.9
167.4,8.4
167.6,159.7
167.8,-32.4
168.0,122.0
168.2,149.8
168.4,-47.6
168.6,180.5
168.8,59.1
169.0,-35.8
169.2,-70.5
169.4,-101.9
169.6,-65.2
169.8,-20.8
170.0,110.8
170.2,38.1
170.4,12.7
170.6,-131.5
170.8,-1.1
171.0,145.2
171.2,-51.5
171.4,-24.5
171.6,32.6
171.8,-4.0
172.0,185.5
172.2,55.9
172.4,-10.5
172.6,113.1
172.8,75.7
173.0,104.2
173.2,-134.4
173.4,82.7
173.6,-132.5
173.8,-247.6
174.0,234.6
174.2,-67.9
174.4,45.0
174.6,-53.2
174.8,26.0
175.0,39.6
175.2,290.6
175.4,12.5
175.6,-14.6
175.8,3.6
176.0,57.6
176.2,17.9
176.4,-50.2
176.6,-46.9
176.8,-137.5
177.0,-129.3
177.2,259.1
177.4,-45.4
177.6,164.6
177.8,117.1
178.0,109.1
178.2,29.8
178.4,-107.6
178.6,-17.2
178.8,-90.0
179.0,64.1
179.2,-18.6
179.4,163.8
179.6,48.8
179.8,163.3
180.0,-18.7
180.2,-44.7
180.4,-5.4
180.6,-107.4
180.8,189.9
181.0,-62.4
181.2,-83.9
181.4,-18.3
181.6,116.1
181.8,-65.6
182.0,11.3
182.2,-43.6
182.4,-87.5
182.6,-109.8
182.8,-24.8
183.0,-98.3
183.2,58.6
183.4,94.0
183.6,-205.5
183.8,-202.8
184.0,-111.4
184.2,-157.6
184.4,7.4
184.6,-69.2
184.8,70.6
185.0,67.2
185.2,-216.9
185.4,118.0
185.6,58.6
185.8,153.5
186.0,-136.3
186.2,136.6
186.4,64.6
186.6,-8.7
186.8,33.4
187.0,5.7
187.2,47.1
187.4,-10.0
187.6,19.0
187.8,-146.3
188.0,-8.8
188.2,49.2
188.4,-218.1
188.6,-53.7
188.8,46.1
189.0,50.8
189.2,-42.1
189.4,177.4
189.6,40.0
189.8,-103.0
190.0,34.6
190.2,132.1
190.4,19.3
190.6,39.3
190.8,143.4
191.0,120.7
191.2,1.8
191.4,41.2
191.6,6.2
191.8,115.2
192.0,205.8
192.2,-87.2
192.4,-28.5
192.6,36.1
192.8,-36.0
193.0,63.3
193.2,114.0
193.4,-45.3
193.6,28.9
193.8,-7.5
194.0,62.4
194.2,24.6
194.4,-91.0
194.6,99.1
194.8,138.3
195.0,-23.7
195.2,62.3
195.4,53.5
195.6,-41.4
195.8,180.7
196.0,41.7
196.2,-84.0
196.4,56.2
196.6,3.8
196.8,107.4
197.0,12.7
197.2,-35.0
197.4,101.3
197.6,-11.1
197.8,-69.7
198.0,-51.3
198.2,-73.6
198.4,-51.7
198.6,-139.4
198.8,-64.6
199.0,81.6
199.2,107.5
199.4,299.3
199.6,-31.6
199.8,2.1
200.0,-4.5
200.2,-56.2
200.4,-9.4
200.6,90.6
200.8,-75.8
201.0,-104.5
201.2,-142.9
201.4,-89.4
201.6,196.1
201.8,-107.6
202.0,-4.8
202.2,92.8
202.4,106.9
202.6,-31.7
202.8,135.4
203.0,-64.2
203.2,-56.7
203.4,151.3
203.6,-23.3
203.8,115.3
204.0,123.0
204.2,184.2
204.4,-18.7
204.6,-41.6
204.8,142.7
205.0,-28.0
205.2,-165.2
205.4,-45.7
205.6,-51.2
205.8,103.6
206.0,-110.1
206.2,27.1
206.4,-94.5
206.6,116.8
206.8,102.5
207.0,35.1
207.2,-134.1
207.4,38.5
207.6,-65.2
207.8,-57.4
208.0,224.0
208.2,6.1
208.4,-122.4
208.6,-101.3
208.8,-10.5
209.0,71.6
209.2,-13.9
209.4,119.6
209.6,-80.6
209.8,-152.1
210.0,189.5
210.2,-108.7
210.4,-79.9
210.6,-9.5
210.8,-2.4
211.0,-87.2
211.2,180.8
211.4,-264.2
211.6,65.4
211.8,-66.7
212.0,-56.1
212.2,116.7
212.4,-101.0
212.6,73.4
212.8,39.8
213.0,3.8
213.2,-173.4
213.4,-22.8
213.6,23.7
213.8,116.6
214.0,99.5
214.2,-97.7
214.4,-72.2
214.6,-113.1
214.8,46.9
215.0,-3.1
215.2,-25.0
215.4,-33.6
215.6,138.9
215.8,-61.0
216.0,-10.7
216.2,-74.5
216.4,-10.5
216.6,138.3
216.8,120.2
217.0,158.6
217.2,225.2
217.4,-12.9
217.6,20.0
217.8,23.3
218.0,88.3
218.2,-53.2
218.4,74.7
218.6,-45.0
218.8,-22.6
219.0,-89.8
219.2,-214.5
219.4,148.0
219.6,-232.8
219.8,8.6
220.0,67.5
220.2,185.4
220.4,26.2
220.6,-33.4
220.8,-45.7
221.0,16.6
221.2,-105.4
221.4,24.4
221.6,68.0
221.8,-159.6
222.0,1.1
222.2,110.6
222.4,-44.1
222.6,-39.8
222.8,18.0
223.0,13.7
223.2,-127.9
223.4,-33.2
223.6,-12.2
223.8,120.3
224.0,-52.5
224.2,62.4
224.4,30.3
224.6,86.0
224.8,20.1
225.0,-59.1
225.2,109.3
225.4,-157.9
225.6,-27.0
225.8,96.9
226.0,22.9
226.2,58.5
226.4,84.4
226.6,-31.1
226.8,-90.5
227.0,8.2
227.2,-21.9
227.4,-74.7
227.6,-16.6
227.8,137.6
228.0,92.0
228.2,9.0
228.4,-120.5
228.6,16.5
228.8,28.1
229.0,17.3
229.2,-4.1
229.4,63.2
229.6,-108.9
229.8,-34.0
230.0,131.1
230.2,-144.9
230.4,-5.7
230.6,107.3
230.8,-83.8
231.0,1.1
231.2,39.7
231.4,-27.7
231.6,-21.3
231.8,-48.8
232.0,-21.1
232.2,-82.3
232.4,10.8
232.6,-187.9
232.8,121.0
233.0,-43.5
233.2,-92.4
233.4,123.9
233.6,122.5
233.8,-33.3
234.0,100.3
234.2,-47.0
234.4,-159.1
234.6,31.6
234.8,49.5
235.0,-89.6
235.2,-114.3
235.4,-26.9
235.6,49.6
235.8,52.7
236.0,34.1
236.2,37.8
236.4,-20.2
236.6,-190.2
236.8,12.0
237.0,2.3
237.2,5.7
237.4,138.9
237.6,181.8
237.8,20.5
238.0,-37.3
238.2,9.9
238.4,232.0
238.6,-129.5
238.8,42.2
239.0,-65.5
239.2,-85.6
239.4,-59.7
239.6,-78.1
239.8,-13.9
240.0,157.9
240.2,-120.7
240.4,10.9
240.6,-101.0
240.8,-29.0
241.0,-118.3
241.2,-69.9
241.4,131.0
241.6,101.2
241.8,-46.5
242.0,-59.9
242.2,135.1
242.4,-6.2
242.6,-55.2
242.8,-7.1
243.0,49.3
243.2,44.8
243.4,-50.1
243.6,-35.9
243.8,-69.8
244.0,143.9
244.2,-37.3
244.4,52.4
244.6,314.8
244.8,54.4
245.0,51.0
245.2,-134.8
245.4,1.9
245.6,91.9
245.8,-131.4
246.0,40.3
246.2,-44.1
246.4,91.6
246.6,65.7
246.8,-37.5
247.0,-146.5
247.2,21.8
247.4,259.6
247.6,-150.1
247.8,-15.1
248.0,59.6
248.2,-107.2
248.4,87.2
248.6,159.6
248.8,70.7
249.0,-63.1
249.2,-135.4
249.4,99.7
249.6,5.8
249.8,-109.8
250.0,-7.0
250.2,-82.0
250.4,24.1
250.6,40.3
250.8,127.9
251.0,-161.0
251.2,91.5
251.4,-27.4
251.6,134.9
251.8,51.0
252.0,-80.1
252.2,-6.3
252.4,52.3
252.6,44.1
252.8,-111.6
253.0,-202.6
253.2,-194.4
253.4,243.5
253.6,-37.8
253.8,49.6
254.0,-28.4
254.2,-92.6
254.4,-61.9
254.6,-66.0
254.8,117.1
255.0,17.9
255.2,-10.1
255.4,66.3
255.6,80.7
255.8,70.9
256.0,-7.3
256.2,-41.9
256.4,82.2
256.6,23.9
256.8,-176.8
257.0,144.7
257.2,95.9
257.4,92.1
257.6,128.0
257.8,92.4
258.0,-50.6
258.2,19.4
258.4,-14.5
258.6,-69.2
258.8,86.1
259.0,-4.5
259.2,-55.4
259.4,5.7
259.6,-139.5
259.8,258.4
260.0,86.0
260.2,-10.2
260.4,-32.8
260.6,-26.7
260.8,-42.4
261.0,66.4
261.2,36.8
261.4,16.3
261.6,-37.3
261.8,101.4
262.0,-285.3
262.2,-61.1
262.4,112.2
262.6,5.8
262.8,-71.2
263.0,-22.7
263.2,-12.8
263.4,151.6
263.6,80.7
263.8,-14.2
264.0,94.6
264.2,87.1
264.4,-112.0
264.6,-70.8
264.8,85.1
265.0,35.7
265.2,161.7
265.4,-14.0
265.6,61.1
265.8,-45.9
266.0,153.0
266.2,17.3
266.4,-51.2
266.6,113.8
266.8,-91.1
267.0,43.1
267.2,-69.9
267.4,-88.4
267.6,42.7
267.8,-131.6
268.0,245.4
268.2,62.4
268.4,150.1
268.6,-29.9
268.8,-62.4
269.0,10.4
269.2,-57.7
269.4,2.6
269.6,-10.4
269.8,-23.4
270.0,2.3
270.2,54.2
270.4,-66.2
270.6,113.2
270.8,-74.0
271.0,56.5
271.2,72.4
271.4,-83.2
271.6,-107.4
271.8,158.5
272.0,55.0
272.2,-52.5
272.4,6.5
272.6,-97.8
272.8,-112.5
273.0,35.2
273.2,-158.6
273.4,-66.3
273.6,117.7
273.8,-20.6
274.0,105.5
274.2,-57.9
274.4,-3.5
274.6,21.5
274.8,53.3
275.0,203.1
275.2,-5.2
275.4,-18.1
275.6,75.2
275.8,-14.6
276.0,125.7
276.2,-148.7
276.4,-4.5
276.6,-2.5
276.8,154.3
277.0,-105.5
277.2,49.8
277.4,-107.2
277.6,74.3
277.8,-228.6
278.0,55.2
278.2,-100.8
278.4,-131.9
278.6,22.4
278.8,92.5
279.0,50.8
279.2,-108.6
279.4,60.0
279.6,22.3
279.8,-78.4
280.0,-115.7
280.2,158.3
280.4,1.2
280.6,5.7
280.8,-38.8
281.0,55.4
281.2,-144.0
281.4,-16.6
281.6,-28.2
281.8,28.6
282.0,-19.0
282.2,-124.9
282.4,16.1
282.6,93.9
282.8,-102.8
283.0,-5.1
283.2,-111.9
283.4,-80.4
283.6,-62.0
283.8,-109.6
284.0,130.1
284.2,-63.4
284.4,48.1
284.6,2.1
284.8,-39.5
285.0,-48.1
285.2,173.3
285.4,41.3
285.6,22.7
285.8,-18.0
286.0,41.3
286.2,50.4
286.4,6.2
286.6,17.6
286.8,-160.3
287.0,100.3
287.2,39.2
287.4,-127.9
287.6,-50.9
287.8,-69.6
288.0,122.1
288.2,-75.1
288.4,30.1
288.6,-148.4
288.8,175.8
289.0,-69.7
289.2,89.0
289.4,-136.3
289.6,21.9
289.8,149.1
290.0,113.2
290.2,13.3
290.4,19.6
290.6,48.5
290.8,-29.0
291.0,44.7
291.2,77.7
291.4,20.3
291.6,-118.5
291.8,214.7
292.0,-25.3
292.2,-3.9
292.4,71.3
292.6,6.6
292.8,89.6
293.0,21.6
293.2,27.1
293.4,65.3
293.6,30.9
293.8,-95.9
294.0,29.7
294.2,-113.8
294.4,58.9
294.6,-72.9
294.8,-77.8
295.0,-89.8
295.2,139.5
295.4,118.5
295.6,61.0
295.8,72.8
296.0,97.3
296.2,108.5
296.4,-160.2
296.6,51.3
296.8,-49.9
297.0,-194.0
297.2,43.5
297.4,103.5
297.6,113.4
297.8,83.4
298.0,-55.2
298.2,-37.6
298.4,-27.1
298.6,90.0
298.8,105.6
299.0,-109.9
299.2,-19.2
299.4,23.3
299.6,-0.8
299.8,216.5
300.0,123.7
300.2,32.0
300.4,177.0
300.6,58.1
300.8,71.5
301.0,57.4
301.2,58.2
301.4,-24.6
301.6,-56.3
301.8,-179.0
302.0,-82.0
302.2,88.7
302.4,-50.6
302.6,-134.3
302.8,-32.3
303.0,197.9
303.2,-45.3
303.4,-87.5
303.6,34.3
303.8,-13.9
304.0,18.2
304.2,-52.4
304.4,52.8
304.6,-74.0
304.8,51.6
305.0,-19.8
305.2,116.2
305.4,-144.4
305.6,-234.2
305.8,-69.9
306.0,-58.4
306.2,86.3
306.4,42.0
306.6,-5.9
306.8,1.6
307.0,286.6
307.2,54.4
307.4,143.0
307.6,-51.5
307.8,-15.3
308.0,11.4
308.2,181.7
308.4,38.7
308.6,-104.4
308.8,118.5
309.0,-148.5
309.2,-63.4
309.4,-39.6
309.6,2.3
309.8,24.5
310.0,17.6
310.2,-194.5
310.4,40.8
310.6,-39.8
310.8,-130.6
311.0,-111.3
311.2,42.8
311.4,64.4
311.6,-95.9
311.8,10.6
312.0,149.8
312.2,5.9
312.4,6.4
312.6,100.7
312.8,-235.2
313.0,-31.1
313.2,-103.0
313.4,23.5
313.6,51.2
313.8,33.2
314.0,25.1
314.2,36.2
314.4,82.8
314.6,34.1
314.8,-68.4
315.0,-37.2
315.2,-80.4
315.4,31.1
315.6,106.8
315.8,-130.2
316.0,-113.4
316.2,87.0
316.4,-76.2
316.6,-9.4
316.8,9.2
317.0,-19.5
317.2,97.8
317.4,34.8
317.6,-37.8
317.8,-49.3
318.0,81.6
318.2,31.6
318.4,114.7
318.6,13.8
318.8,-88.0
319.0,156.6
319.2,-143.5
319.4,100.1
319.6,5.5
319.8,-22.4
320.0,-127.3
320.2,61.1
320.4,97.4
320.6,56.5
320.8,-33.7
321.0,33.1
321.2,78.5
321.4,-52.4
321.6,48.2
321.8,81.6
322.0,20.7
322.2,12.3
322.4,10.4
