Time (ps),Radius of gyration ($\AA$)
0.0,31.485344279053468
20.0,31.47021059003816
40.0,31.440585493190504
60.0,31.453986047012087
80.0,31.451160845430845
100.0,31.436476134931286
120.0,31.46088049105962
140.0,31.460293384058758
160.0,31.467590659001115
180.0,31.445892137399277
200.0,31.468087596556554
220.0,31.465250264758012
240.0,31.44128395503943
260.0,31.486400710300103
280.0,31.47456464738559
300.0,31.47672055285798
320.0,31.463901994381793
340.0,31.458034404799438
360.0,31.434629857272725
380.0,31.448305049887608
400.0,31.479585422278344
420.0,31.459764468606934
440.0,31.464517755597235
460.0,31.465306682557593
480.0,31.456883198476728
500.0,31.482914253247614
520.0,31.437462578369356
540.0,31.464687258892436
560.0,31.436607755847973
580.0,31.426702159123174
600.0,31.42119566454469
620.0,31.485815636437934
640.0,31.46176161529387
660.0,31.440700652315225
680.0,31.466368429423888
700.0,31.46346791181306
720.0,31.459832694325243
740.0,31.426265820474413
760.0,31.456123558351177
780.0,31.45409298609681
800.0,31.43433560861999
820.0,31.45325502368657
840.0,31.44849017192173
860.0,31.442081750638863
880.0,31.457623667466578
900.0,31.433463367679096
920.0,31.475425524682908
940.0,31.453422523655757
960.0,31.450081896147235
980.0,31.431793409682754
1000.0,31.487312604745405
1020.0,31.442296043637874
1040.0,31.431203767437697
1060.0,31.43223129047937
1080.0,31.45791218821217
1100.0,31.455041190516404
1120.0,31.449424525440644
1140.0,31.427514397338026
1160.0,31.41983748716517
1180.0,31.471693867390695
1200.0,31.4286224456448
1220.0,31.439079015533324
1240.0,31.43971895766415
1260.0,31.47510413783059
1280.0,31.459711153125813
1300.0,31.48218511201699
1320.0,31.42518777093369
1340.0,31.43924971288373
1360.0,31.46874250889561
1380.0,31.43570772781379
1400.0,31.428496827436202
1420.0,31.409921832333225
1440.0,31.441115164059
1460.0,31.445809461794724
1480.0,31.404082193009682
1500.0,31.45655244543639
1520.0,31.407050868532373
1540.0,31.47100431085126
1560.0,31.418507664742553
1580.0,31.431820509322357
1600.0,31.43379256872468
1620.0,31.45617439666525
1640.0,31.420432794241798
1660.0,31.439747781684673
1680.0,31.450338126182555
1700.0,31.441546616722324
1720.0,31.43727541670539
1740.0,31.433577748285458
1760.0,31.44141859206876
1780.0,31.49243454557498
1800.0,31.46203895470445
1820.0,31.444876419324586
1840.0,31.460893656803766
1860.0,31.4351260675137
1880.0,31.459207121696082
1900.0,31.445268660036913
1920.0,31.454351996575383
1940.0,31.45037115850944
1960.0,31.46741229788185
1980.0,31.43902040370418
2000.0,31.43976817085954
2020.0,31.455055245704575
2040.0,31.43613517158036
2060.0,31.434405311755267
2080.0,31.44677902611153
2100.0,31.453671250173574
2120.0,31.450754359529
2140.0,31.44986858028609
2160.0,31.400359517813975
2180.0,31.425518674608877
2200.0,31.4153136326221
2220.0,31.426056124451698
2240.0,31.435070428570896
2260.0,31.439229853189417
2280.0,31.44758269936084
2300.0,31.44335708361279
2320.0,31.415457730285027
2340.0,31.453433287602465
2360.0,31.395844009596132
2380.0,31.409135621292744
2400.0,31.440038409922128
2420.0,31.441036851676806
2440.0,31.451969670245898
2460.0,31.465186410795496
2480.0,31.46101434775583
2500.0,31.452546387496685
2520.0,31.423106810589243
2540.0,31.449209211523076
2560.0,31.475192312613363
2580.0,31.468891329678467
2600.0,31.468389733861418
2620.0,31.437478941658114
2640.0,31.436370149840855
2660.0,31.467351883826602
2680.0,31.46140683154163
2700.0,31.471099394337642
2720.0,31.470867236687038
2740.0,31.401977940517735
2760.0,31.42595098575231
2780.0,31.46137625241082
2800.0,31.43348109079567
2820.0,31.46408333709296
2840.0,31.402437003547192
2860.0,31.400000085958908
2880.0,31.425563816896183
2900.0,31.44206576425994
2920.0,31.41904733445545
2940.0,31.442539892691407
2960.0,31.43340936525239
2980.0,31.447778166947664
3000.0,31.42443786582893
3020.0,31.418784053318742
3040.0,31.427765987812556
3060.0,31.420841566796344
3080.0,31.409041493682555
3100.0,31.4151816052058
3120.0,31.405786836323948
3140.0,31.40976128941456
3160.0,31.403508225706073
3180.0,31.464219921007412
3200.0,31.45416919162509
3220.0,31.417475738312422
3240.0,31.42699569211424
3260.0,31.4082443906464
3280.0,31.431696946816512
3300.0,31.442256780220568
3320.0,31.471058688574683
3340.0,31.43750293101414
3360.0,31.398136924698868
3380.0,31.443693128627032
3400.0,31.408015281772954
3420.0,31.42417935899959
3440.0,31.421802313626152
3460.0,31.440179769855902
3480.0,31.433771442618493
3500.0,31.43379883274822
3520.0,31.41712705251867
3540.0,31.445984170603076
3560.0,31.41807370660184
3580.0,31.486412126163405
3600.0,31.437482069554157
