Time (ps),EPTOT
20.2,-859406.7473
20.4,-859453.3054
20.6,-860013.1837
20.8,-860874.7033
21.0,-860688.4132
21.2,-861187.9217
21.4,-861155.2236
21.6,-861200.6953
21.8,-861855.7202
22.0,-862119.1629
22.2,-862197.2321
22.4,-862208.0738
22.6,-862456.9253
22.8,-862960.0438
23.0,-862820.0952
23.2,-863293.3113
23.4,-863265.0292
23.6,-864093.0111
23.8,-863994.008
24.0,-864287.9675
24.2,-864312.0804
24.4,-864515.2644
24.6,-864934.3448
24.8,-865221.9459
25.0,-864813.5692
25.2,-864995.6076
25.4,-865879.3928
25.6,-865834.6509
25.8,-865699.7423
26.0,-866552.6108
26.2,-866061.7108
26.4,-866555.6917
26.6,-867033.5674
26.8,-867342.3458
27.0,-867256.1622
27.2,-867985.3491
27.4,-867915.7555
27.6,-867853.5746
27.8,-868228.8955
28.0,-868414.4882
28.2,-868395.8038
28.4,-868296.0049
28.6,-868412.7918
28.8,-868438.7742
29.0,-868754.6329
29.2,-868549.9002
29.4,-868427.3031
29.6,-868676.282
29.8,-868989.3823
30.0,-869553.3437
30.2,-869110.2518
30.4,-869413.7018
30.6,-869408.2342
30.8,-869588.6136
31.0,-869675.6951
31.2,-870278.8568
31.4,-869912.0085
31.6,-870220.1156
31.8,-870837.1506
32.0,-870777.6731
32.2,-870844.6224
32.4,-871050.3595
32.6,-870687.6251
32.8,-870337.2877
33.0,-870991.5191
33.2,-871130.7114
33.4,-871394.1335
33.6,-871233.6119
33.8,-871234.2364
34.0,-871125.8248
34.2,-871734.7566
34.4,-871855.0679
34.6,-871968.3715
34.8,-871681.9719
35.0,-872009.6722
35.2,-872278.386
35.4,-872192.2427
35.6,-872461.3674
35.8,-872390.8611
36.0,-872522.2017
36.2,-873085.7212
36.4,-872684.6341
36.6,-873179.0205
36.8,-873343.9201
37.0,-873470.2652
37.2,-873245.5758
37.4,-873180.499
37.6,-873830.4647
37.8,-873809.6553
38.0,-873800.9771
38.2,-873627.4897
38.4,-873529.3695
38.6,-873395.1183
38.8,-873886.5379
39.0,-873744.5953
39.2,-873930.1623
39.4,-873975.7606
39.6,-874093.8244
39.8,-874104.9331
40.0,-874244.7063
40.2,-874252.7461
40.4,-874263.9987
40.6,-874650.6212
40.8,-874412.127
41.0,-874413.8052
41.2,-874596.865
41.4,-875361.6153
41.6,-875344.1226
41.8,-875171.7495
42.0,-875528.2625
42.2,-875012.4145
42.4,-874753.6668
42.6,-874986.0897
42.8,-875349.0693
43.0,-875850.6519
43.2,-875494.5364
43.4,-875579.8254
43.6,-875314.2638
43.8,-875658.234
44.0,-875317.4698
44.2,-875543.2367
44.4,-876009.5461
44.6,-875489.5433
44.8,-875704.3679
45.0,-875694.864
45.2,-876038.9593
45.4,-875918.5458
45.6,-875627.1072
45.8,-876468.1994
46.0,-876118.2276
46.2,-876331.2207
46.4,-876688.7012
46.6,-876640.6511
46.8,-876456.0563
47.0,-876311.3471
47.2,-876583.99
47.4,-877036.6617
47.6,-877184.3184
47.8,-877339.3957
48.0,-876876.4181
48.2,-876772.9803
48.4,-876861.7777
48.6,-876568.351
48.8,-876987.4729
49.0,-877222.9714
49.2,-877278.9035
49.4,-877558.8
49.6,-877554.7061
49.8,-877075.0697
50.0,-877456.6787
50.2,-877148.0563
50.4,-877180.9375
50.6,-877612.4026
50.8,-877931.1297
51.0,-878029.6972
51.2,-878456.7091
51.4,-878392.96
51.6,-878327.4919
51.8,-878273.0901
52.0,-878171.068
52.2,-877930.0282
52.4,-878271.7419
52.6,-878369.9466
52.8,-878251.9911
53.0,-878270.2185
53.2,-878364.6634
53.4,-878726.8141
53.6,-878331.4502
53.8,-878447.1364
54.0,-878565.5246
54.2,-878752.3184
54.4,-878869.4021
54.6,-879299.8245
54.8,-879426.852
55.0,-879049.8105
55.2,-879481.3256
55.4,-878932.0222
55.6,-879169.2729
55.8,-879471.4401
56.0,-879123.0642
56.2,-879626.6824
56.4,-879821.6277
56.6,-879285.0756
56.8,-879828.6396
57.0,-880189.6709
57.2,-880118.3375
57.4,-880316.599
57.6,-880717.6141
57.8,-880802.7798
58.0,-880872.4679
58.2,-880893.357
58.4,-880589.9476
58.6,-880821.4953
58.8,-881423.4541
59.0,-881207.6497
59.2,-881817.3028
59.4,-882040.105
59.6,-881940.2004
59.8,-882213.4353
60.0,-882340.1922
60.2,-883117.8752
60.4,-883304.0357
60.6,-883274.9922
60.8,-883495.0486
61.0,-884269.4174
61.2,-884055.1209
61.4,-884841.0281
61.6,-885084.5646
61.8,-885619.5351
62.0,-885733.0141
62.2,-886132.0745
62.4,-886357.0427
62.6,-886777.275
62.8,-886938.6004
63.0,-887366.8676
63.2,-887655.9003
